xflr5 v6.61

Project Wing
T1-10.0 m/s-Panel-Inviscid
QInf  =,   10.000000 ,m/s
Alpha = ,   0.000000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   0.215252
Cy    = ,   0.000000
Cd=,   0.001470,ICd=,    0.001470,PCd=,    0.000000
Cl   = ,2.72552e-16
Cm   =,   -0.350077
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,    8.579703, YCP=,   -0.000000, ZCP=,    0.881169 
XNP=,    0.000000
Bending =, 14196.479564

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -23.8795,   2.2299, -2.411, 0.091466, 0.000000, 0.003852,-0.644806,-0.026139, 0.0000, 0.0000, 0.5140, 0.0000
  -23.6977,   2.2692, -1.743, 0.147056, 0.000000, 0.004474,-0.949563,-0.042072, 0.0000, 0.0000, 0.5333, 0.2112
  -23.3357,   2.3476, -1.193, 0.188681, 0.000000, 0.003930,-1.130796,-0.049614, 0.0000, 0.0000, 0.5171, 2.6928
  -22.7960,   2.4644, -0.826, 0.215216, 0.000000, 0.003103,-1.211410,-0.054939, 0.0000, 0.0000, 0.5081,13.1518
  -22.0828,   2.6189, -0.599, 0.230782, 0.000000, 0.002411,-1.198667,-0.057965, 0.0000, 0.0000, 0.5028,41.8346
  -21.2015,   2.8097, -0.461, 0.238943, 0.000000, 0.001921,-1.125096,-0.059556, 0.0000, 0.0000, 0.5003,103.9074
  -20.1589,   3.0354, -0.380, 0.242301, 0.000000, 0.001606,-1.019303,-0.060367, 0.0000, 0.0000, 0.5000,219.5739
  -18.9629,   3.2943, -0.336, 0.242575, 0.000000, 0.001423,-0.900841,-0.060779, 0.0000, 0.0000, 0.5015,414.0139
  -17.6226,   3.5845, -0.317, 0.240820, 0.000000, 0.001331,-0.781600,-0.060983, 0.0000, 0.0000, 0.5043,717.1099
  -16.1481,   3.9038, -0.313, 0.237654, 0.000000, 0.001298,-0.668227,-0.061077, 0.0000, 0.0000, 0.5084,1162.8845
  -14.5508,   4.2496, -0.320, 0.233420, 0.000000, 0.001303,-0.564078,-0.061108, 0.0000, 0.0000, 0.5136,1788.5702
  -12.8427,   4.6194, -0.334, 0.228285, 0.000000, 0.001331,-0.470518,-0.061104, 0.0000, 0.0000, 0.5200,2633.2621
  -11.0368,   5.0104, -0.353, 0.222301, 0.000000, 0.001370,-0.387774,-0.061078, 0.0000, 0.0000, 0.5278,3736.1367
   -9.1470,   5.4196, -0.375, 0.215426, 0.000000, 0.001411,-0.315475,-0.061047, 0.0000, 0.0000, 0.5373,5134.2589
   -7.1875,   5.8438, -0.398, 0.207528, 0.000000, 0.001441,-0.252972,-0.061035, 0.0000, 0.0000, 0.5491,6860.0316
   -5.1734,   6.2799, -0.416, 0.198364, 0.000000, 0.001442,-0.199554,-0.061090, 0.0000, 0.0000, 0.5646,8938.3621
   -3.1199,   6.7245, -0.417, 0.187521, 0.000000, 0.001364,-0.154647,-0.061339, 0.0000, 0.0000, 0.5860,11383.6268
   -1.0426,   7.1743, -0.331, 0.174316, 0.000000, 0.001009,-0.118151,-0.062129, 0.0000, 0.0000, 0.6185,14196.4796
    1.0426,   7.1743, -0.331, 0.174316, 0.000000, 0.001009,-0.118151,-0.062129, 0.0000, 0.0000, 0.6185,14196.4796
    3.1199,   6.7245, -0.417, 0.187521, 0.000000, 0.001364,-0.154647,-0.061339, 0.0000, 0.0000, 0.5860,11383.6268
    5.1734,   6.2799, -0.416, 0.198364, 0.000000, 0.001442,-0.199554,-0.061090, 0.0000, 0.0000, 0.5646,8938.3621
    7.1875,   5.8438, -0.398, 0.207528, 0.000000, 0.001441,-0.252972,-0.061035, 0.0000, 0.0000, 0.5491,6860.0316
    9.1470,   5.4196, -0.375, 0.215426, 0.000000, 0.001411,-0.315475,-0.061047, 0.0000, 0.0000, 0.5373,5134.2589
   11.0368,   5.0104, -0.353, 0.222301, 0.000000, 0.001370,-0.387774,-0.061078, 0.0000, 0.0000, 0.5278,3736.1367
   12.8427,   4.6194, -0.334, 0.228285, 0.000000, 0.001331,-0.470518,-0.061104, 0.0000, 0.0000, 0.5200,2633.2621
   14.5508,   4.2496, -0.320, 0.233420, 0.000000, 0.001303,-0.564078,-0.061108, 0.0000, 0.0000, 0.5136,1788.5702
   16.1481,   3.9038, -0.313, 0.237654, 0.000000, 0.001298,-0.668227,-0.061077, 0.0000, 0.0000, 0.5084,1162.8845
   17.6226,   3.5845, -0.317, 0.240820, 0.000000, 0.001331,-0.781600,-0.060983, 0.0000, 0.0000, 0.5043,717.1099
   18.9629,   3.2943, -0.336, 0.242575, 0.000000, 0.001423,-0.900841,-0.060779, 0.0000, 0.0000, 0.5015,414.0139
   20.1589,   3.0354, -0.380, 0.242301, 0.000000, 0.001606,-1.019303,-0.060367, 0.0000, 0.0000, 0.5000,219.5739
   21.2015,   2.8097, -0.461, 0.238943, 0.000000, 0.001921,-1.125096,-0.059556, 0.0000, 0.0000, 0.5003,103.9074
   22.0828,   2.6189, -0.599, 0.230782, 0.000000, 0.002411,-1.198667,-0.057965, 0.0000, 0.0000, 0.5028,41.8346
   22.7960,   2.4644, -0.826, 0.215216, 0.000000, 0.003103,-1.211410,-0.054939, 0.0000, 0.0000, 0.5081,13.1518
   23.3357,   2.3476, -1.193, 0.188681, 0.000000, 0.003930,-1.130796,-0.049614, 0.0000, 0.0000, 0.5171, 2.6928
   23.6977,   2.2692, -1.743, 0.147056, 0.000000, 0.004474,-0.949563,-0.042072, 0.0000, 0.0000, 0.5333, 0.2112
   23.8795,   2.2299, -2.411, 0.091466, 0.000000, 0.003852,-0.644806,-0.026139, 0.0000, 0.0000, 0.5140, 0.0000


Main Wing Cp Coefficients
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp
  61,   1.537e+01,  -2.332e+01,   8.549e-01,       0.006,      -0.035,      -0.999,   5.297e-02,      0.2029
  62,   1.522e+01,  -2.332e+01,   8.512e-01,       0.037,      -0.023,      -0.999,   8.433e-02,      0.1791
  63,   1.500e+01,  -2.332e+01,   8.385e-01,       0.076,      -0.008,      -0.997,   1.102e-01,      0.1399
  64,   1.474e+01,  -2.332e+01,   8.124e-01,       0.118,       0.008,      -0.993,   1.289e-01,      0.0640
  65,   1.444e+01,  -2.332e+01,   7.779e-01,       0.116,       0.008,      -0.993,   1.383e-01,     -0.0656
  66,   1.414e+01,  -2.332e+01,   7.526e-01,       0.050,      -0.023,      -0.998,   1.375e-01,     -0.1771
  67,   1.385e+01,  -2.332e+01,   7.470e-01,      -0.014,      -0.054,      -0.998,   1.280e-01,     -0.2066
  68,   1.358e+01,  -2.332e+01,   7.570e-01,      -0.066,      -0.080,      -0.995,   1.102e-01,     -0.1980
  69,   1.337e+01,  -2.332e+01,   7.766e-01,      -0.123,      -0.109,      -0.986,   8.519e-02,     -0.1838
  70,   1.322e+01,  -2.332e+01,   8.021e-01,      -0.230,      -0.167,      -0.959,   5.497e-02,     -0.2267
  71,   1.314e+01,  -2.332e+01,   8.366e-01,      -0.664,      -0.397,      -0.633,   2.795e-02,      0.3337
  72,   1.314e+01,  -2.332e+01,   8.861e-01,      -0.748,      -0.402,       0.529,   3.510e-02,      0.4359
  73,   1.322e+01,  -2.332e+01,   9.381e-01,      -0.357,      -0.171,       0.918,   5.806e-02,     -0.3987
  74,   1.337e+01,  -2.332e+01,   9.773e-01,      -0.170,      -0.067,       0.983,   8.591e-02,     -0.4365
  75,   1.358e+01,  -2.331e+01,   1.004e+00,      -0.090,      -0.024,       0.996,   1.104e-01,     -0.3826
  76,   1.385e+01,  -2.331e+01,   1.020e+00,      -0.034,       0.004,       0.999,   1.279e-01,     -0.3508
  77,   1.414e+01,  -2.331e+01,   1.023e+00,       0.015,       0.028,       0.999,   1.372e-01,     -0.3237
  78,   1.444e+01,  -2.331e+01,   1.009e+00,       0.072,       0.054,       0.996,   1.375e-01,     -0.2790
  79,   1.474e+01,  -2.332e+01,   9.809e-01,       0.123,       0.076,       0.989,   1.289e-01,     -0.1987
  80,   1.500e+01,  -2.332e+01,   9.441e-01,       0.156,       0.089,       0.984,   1.113e-01,     -0.1107
  81,   1.522e+01,  -2.332e+01,   9.077e-01,       0.182,       0.098,       0.978,   8.586e-02,     -0.0302
  82,   1.537e+01,  -2.332e+01,   8.771e-01,       0.221,       0.112,       0.969,   5.449e-02,      0.1088
  83,   1.545e+01,  -2.332e+01,   8.594e-01,       0.210,       0.108,       0.972,   1.854e-02,      0.1973
Strip 4
  84,   1.526e+01,  -2.278e+01,   8.354e-01,      -0.004,      -0.038,      -0.999,   2.635e-02,      0.2200
  85,   1.518e+01,  -2.278e+01,   8.352e-01,       0.006,      -0.035,      -0.999,   7.726e-02,      0.2092
  86,   1.502e+01,  -2.278e+01,   8.312e-01,       0.037,      -0.023,      -0.999,   1.230e-01,      0.1861
  87,   1.479e+01,  -2.278e+01,   8.179e-01,       0.076,      -0.008,      -0.997,   1.607e-01,      0.1442
  88,   1.452e+01,  -2.278e+01,   7.905e-01,       0.118,       0.008,      -0.993,   1.880e-01,      0.0630
  89,   1.421e+01,  -2.278e+01,   7.543e-01,       0.116,       0.008,      -0.993,   2.017e-01,     -0.0717
  90,   1.389e+01,  -2.278e+01,   7.277e-01,       0.050,      -0.023,      -0.998,   2.005e-01,     -0.1844
  91,   1.358e+01,  -2.278e+01,   7.218e-01,      -0.014,      -0.054,      -0.998,   1.867e-01,     -0.2084
  92,   1.330e+01,  -2.278e+01,   7.324e-01,      -0.066,      -0.080,      -0.995,   1.608e-01,     -0.1912
  93,   1.308e+01,  -2.278e+01,   7.529e-01,      -0.123,      -0.109,      -0.986,   1.243e-01,     -0.1694
  94,   1.292e+01,  -2.278e+01,   7.796e-01,      -0.230,      -0.167,      -0.959,   8.019e-02,     -0.2015
  95,   1.284e+01,  -2.278e+01,   8.159e-01,      -0.664,      -0.397,      -0.634,   4.079e-02,      0.3597
  96,   1.284e+01,  -2.278e+01,   8.679e-01,      -0.748,      -0.402,       0.528,   5.117e-02,      0.4321
  97,   1.292e+01,  -2.278e+01,   9.225e-01,      -0.357,      -0.171,       0.918,   8.465e-02,     -0.4132
  98,   1.308e+01,  -2.278e+01,   9.636e-01,      -0.170,      -0.067,       0.983,   1.253e-01,     -0.4531
  99,   1.330e+01,  -2.278e+01,   9.921e-01,      -0.090,      -0.024,       0.996,   1.610e-01,     -0.4054
 100,   1.358e+01,  -2.278e+01,   1.009e+00,      -0.034,       0.004,       0.999,   1.866e-01,     -0.3828
 101,   1.389e+01,  -2.278e+01,   1.011e+00,       0.015,       0.028,       0.999,   2.000e-01,     -0.3617
 102,   1.421e+01,  -2.278e+01,   9.974e-01,       0.072,       0.054,       0.996,   2.006e-01,     -0.3161
 103,   1.452e+01,  -2.278e+01,   9.674e-01,       0.123,       0.076,       0.989,   1.880e-01,     -0.2289
 104,   1.479e+01,  -2.278e+01,   9.288e-01,       0.156,       0.089,       0.984,   1.624e-01,     -0.1311
 105,   1.502e+01,  -2.278e+01,   8.905e-01,       0.182,       0.098,       0.978,   1.252e-01,     -0.0409
 106,   1.518e+01,  -2.278e+01,   8.584e-01,       0.221,       0.112,       0.969,   7.949e-02,      0.1053
 107,   1.526e+01,  -2.278e+01,   8.399e-01,       0.210,       0.108,       0.972,   2.704e-02,      0.1975
Strip 5
 108,   1.501e+01,  -2.207e+01,   8.093e-01,      -0.004,      -0.038,      -0.999,   3.564e-02,      0.2192
 109,   1.492e+01,  -2.207e+01,   8.090e-01,       0.006,      -0.035,      -0.999,   1.045e-01,      0.2090
 110,   1.475e+01,  -2.207e+01,   8.048e-01,       0.037,      -0.023,      -0.999,   1.663e-01,      0.1866
 111,   1.451e+01,  -2.207e+01,   7.906e-01,       0.076,      -0.008,      -0.997,   2.173e-01,      0.1445
 112,   1.422e+01,  -2.207e+01,   7.616e-01,       0.118,       0.008,      -0.993,   2.542e-01,      0.0628
 113,   1.389e+01,  -2.207e+01,   7.231e-01,       0.116,       0.008,      -0.993,   2.728e-01,     -0.0719
 114,   1.355e+01,  -2.207e+01,   6.948e-01,       0.050,      -0.023,      -0.998,   2.711e-01,     -0.1831
 115,   1.323e+01,  -2.207e+01,   6.886e-01,      -0.014,      -0.054,      -0.998,   2.525e-01,     -0.2046
 116,   1.293e+01,  -2.207e+01,   6.998e-01,      -0.066,      -0.080,      -0.995,   2.174e-01,     -0.1850
 117,   1.269e+01,  -2.207e+01,   7.216e-01,      -0.122,      -0.109,      -0.986,   1.681e-01,     -0.1610
 118,   1.252e+01,  -2.207e+01,   7.500e-01,      -0.229,      -0.167,      -0.959,   1.085e-01,     -0.1874
 119,   1.244e+01,  -2.207e+01,   7.885e-01,      -0.664,      -0.396,      -0.634,   5.521e-02,      0.3737
 120,   1.244e+01,  -2.207e+01,   8.438e-01,      -0.749,      -0.402,       0.527,   6.916e-02,      0.4254
 121,   1.252e+01,  -2.207e+01,   9.018e-01,      -0.357,      -0.171,       0.918,   1.144e-01,     -0.4260
 122,   1.269e+01,  -2.206e+01,   9.455e-01,      -0.170,      -0.067,       0.983,   1.694e-01,     -0.4643
 123,   1.293e+01,  -2.206e+01,   9.758e-01,      -0.090,      -0.024,       0.996,   2.177e-01,     -0.4174
 124,   1.323e+01,  -2.206e+01,   9.935e-01,      -0.034,       0.004,       0.999,   2.523e-01,     -0.3974
 125,   1.355e+01,  -2.206e+01,   9.963e-01,       0.015,       0.028,       0.999,   2.705e-01,     -0.3793
 126,   1.389e+01,  -2.206e+01,   9.815e-01,       0.072,       0.054,       0.996,   2.713e-01,     -0.3349
 127,   1.422e+01,  -2.206e+01,   9.496e-01,       0.123,       0.076,       0.989,   2.543e-01,     -0.2460
 128,   1.451e+01,  -2.207e+01,   9.085e-01,       0.156,       0.089,       0.984,   2.196e-01,     -0.1447
 129,   1.475e+01,  -2.207e+01,   8.678e-01,       0.182,       0.098,       0.978,   1.694e-01,     -0.0504
 130,   1.492e+01,  -2.207e+01,   8.337e-01,       0.221,       0.112,       0.969,   1.075e-01,      0.0994
 131,   1.501e+01,  -2.207e+01,   8.140e-01,       0.210,       0.108,       0.972,   3.657e-02,      0.1936
Strip 6
 132,   1.470e+01,  -2.119e+01,   7.770e-01,      -0.004,      -0.038,      -0.999,   4.613e-02,      0.2182
 133,   1.461e+01,  -2.119e+01,   7.767e-01,       0.006,      -0.035,      -0.999,   1.353e-01,      0.2084
 134,   1.443e+01,  -2.119e+01,   7.722e-01,       0.037,      -0.023,      -0.999,   2.153e-01,      0.1865
 135,   1.417e+01,  -2.119e+01,   7.570e-01,       0.076,      -0.008,      -0.997,   2.813e-01,      0.1449
 136,   1.386e+01,  -2.119e+01,   7.258e-01,       0.118,       0.008,      -0.993,   3.290e-01,      0.0636
 137,   1.351e+01,  -2.119e+01,   6.845e-01,       0.116,       0.008,      -0.993,   3.531e-01,     -0.0705
 138,   1.314e+01,  -2.119e+01,   6.542e-01,       0.050,      -0.023,      -0.998,   3.510e-01,     -0.1810
 139,   1.279e+01,  -2.119e+01,   6.475e-01,      -0.014,      -0.054,      -0.998,   3.268e-01,     -0.2017
 140,   1.248e+01,  -2.119e+01,   6.595e-01,      -0.066,      -0.080,      -0.995,   2.815e-01,     -0.1814
 141,   1.222e+01,  -2.119e+01,   6.829e-01,      -0.122,      -0.109,      -0.986,   2.176e-01,     -0.1567
 142,   1.204e+01,  -2.119e+01,   7.134e-01,      -0.229,      -0.167,      -0.959,   1.405e-01,     -0.1805
 143,   1.194e+01,  -2.119e+01,   7.547e-01,      -0.663,      -0.396,      -0.635,   7.152e-02,      0.3801
 144,   1.194e+01,  -2.119e+01,   8.141e-01,      -0.749,      -0.402,       0.526,   8.947e-02,      0.4218
 145,   1.204e+01,  -2.118e+01,   8.763e-01,      -0.358,      -0.171,       0.918,   1.480e-01,     -0.4333
 146,   1.222e+01,  -2.118e+01,   9.231e-01,      -0.170,      -0.067,       0.983,   2.192e-01,     -0.4704
