xflr5 v6.61

Project Wing
T1-10.0 m/s-Panel-Inviscid
QInf  =,   10.000000 ,m/s
Alpha = ,  20.000000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   1.822068
Cy    = ,   0.000000
Cd=,   0.100303,ICd=,    0.100303,PCd=,    0.000000
Cl   = ,-5.37791e-15
Cm   =,    -2.55629
ICn=,    0.000000,PCn=,    0.000000
XCP=,    7.469389, YCP=,    0.000000, ZCP=,    0.563705 
XNP=,    0.000000
Bending =, 114713.817872

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -23.8795,   2.2299,-11.544, 0.637247, 0.000000, 0.130123,-4.326832, 0.077912, 0.0000, 0.0000, 0.1346, 0.0000
  -23.6977,   2.2692, -9.511, 1.054153, 0.000000, 0.176543,-6.826276, 0.041012, 0.0000, 0.0000, 0.2082, 1.4718
  -23.3357,   2.3476, -7.948, 1.414692, 0.000000, 0.197392,-8.691083, 0.030875, 0.0000, 0.0000, 0.2236,19.1756
  -22.7960,   2.4644, -6.458, 1.674048, 0.000000, 0.189347,-9.686865, 0.003602, 0.0000, 0.0000, 0.2430,96.2502
  -22.0828,   2.6189, -5.138, 1.837124, 0.000000, 0.165005,-9.793113,-0.019227, 0.0000, 0.0000, 0.2554,313.7024
  -21.2015,   2.8097, -4.121, 1.926318, 0.000000, 0.138552,-9.274820,-0.033591, 0.0000, 0.0000, 0.2622,794.3893
  -20.1589,   3.0354, -3.441, 1.965948, 0.000000, 0.117963,-8.409726,-0.041566, 0.0000, 0.0000, 0.2659,1703.5272
  -18.9629,   3.2943, -3.045, 1.974114, 0.000000, 0.104709,-7.397995,-0.045798, 0.0000, 0.0000, 0.2679,3247.4891
  -17.6226,   3.5845, -2.853, 1.962145, 0.000000, 0.097445,-6.361866,-0.048001, 0.0000, 0.0000, 0.2691,5671.0761
  -16.1481,   3.9038, -2.801, 1.936599, 0.000000, 0.094381,-5.369253,-0.049103, 0.0000, 0.0000, 0.2700,9252.5757
  -14.5508,   4.2496, -2.844, 1.901092, 0.000000, 0.094036,-4.454338,-0.049616, 0.0000, 0.0000, 0.2707,14295.8852
  -12.8427,   4.6194, -2.951, 1.857424, 0.000000, 0.095277,-3.631575,-0.049808, 0.0000, 0.0000, 0.2714,21119.2497
  -11.0368,   5.0104, -3.099, 1.806254, 0.000000, 0.097222,-2.904092,-0.049879, 0.0000, 0.0000, 0.2722,30040.4724
   -9.1470,   5.4196, -3.267, 1.747395, 0.000000, 0.099057,-2.269238,-0.050052, 0.0000, 0.0000, 0.2733,41358.8049
   -7.1875,   5.8438, -3.430, 1.679923, 0.000000, 0.099798,-1.721738,-0.050748, 0.0000, 0.0000, 0.2749,55334.0031
   -5.1734,   6.2799, -3.541, 1.602112, 0.000000, 0.097896,-1.255990,-0.053027, 0.0000, 0.0000, 0.2778,72163.2733
   -3.1199,   6.7245, -3.495, 1.511073, 0.000000, 0.090195,-0.868703,-0.059912, 0.0000, 0.0000, 0.2843,91956.9891
   -1.0426,   7.1743, -2.973, 1.396235, 0.000000, 0.065956,-0.563674,-0.082483, 0.0000, 0.0000, 0.3038,114713.8179
    1.0426,   7.1743, -2.973, 1.396235, 0.000000, 0.065956,-0.563674,-0.082483, 0.0000, 0.0000, 0.3038,114713.8179
    3.1199,   6.7245, -3.495, 1.511073, 0.000000, 0.090195,-0.868703,-0.059912, 0.0000, 0.0000, 0.2843,91956.9891
    5.1734,   6.2799, -3.541, 1.602112, 0.000000, 0.097896,-1.255990,-0.053027, 0.0000, 0.0000, 0.2778,72163.2733
    7.1875,   5.8438, -3.430, 1.679923, 0.000000, 0.099798,-1.721738,-0.050748, 0.0000, 0.0000, 0.2749,55334.0031
    9.1470,   5.4196, -3.267, 1.747395, 0.000000, 0.099057,-2.269238,-0.050052, 0.0000, 0.0000, 0.2733,41358.8049
   11.0368,   5.0104, -3.099, 1.806254, 0.000000, 0.097222,-2.904092,-0.049879, 0.0000, 0.0000, 0.2722,30040.4724
   12.8427,   4.6194, -2.951, 1.857424, 0.000000, 0.095277,-3.631575,-0.049808, 0.0000, 0.0000, 0.2714,21119.2497
   14.5508,   4.2496, -2.844, 1.901092, 0.000000, 0.094036,-4.454338,-0.049616, 0.0000, 0.0000, 0.2707,14295.8852
   16.1481,   3.9038, -2.801, 1.936599, 0.000000, 0.094381,-5.369253,-0.049103, 0.0000, 0.0000, 0.2700,9252.5757
   17.6226,   3.5845, -2.853, 1.962145, 0.000000, 0.097445,-6.361866,-0.048001, 0.0000, 0.0000, 0.2691,5671.0761
   18.9629,   3.2943, -3.045, 1.974114, 0.000000, 0.104709,-7.397995,-0.045798, 0.0000, 0.0000, 0.2679,3247.4891
   20.1589,   3.0354, -3.441, 1.965948, 0.000000, 0.117963,-8.409726,-0.041566, 0.0000, 0.0000, 0.2659,1703.5272
   21.2015,   2.8097, -4.121, 1.926318, 0.000000, 0.138552,-9.274820,-0.033591, 0.0000, 0.0000, 0.2622,794.3893
   22.0828,   2.6189, -5.138, 1.837124, 0.000000, 0.165005,-9.793113,-0.019227, 0.0000, 0.0000, 0.2554,313.7024
   22.7960,   2.4644, -6.458, 1.674048, 0.000000, 0.189347,-9.686865, 0.003602, 0.0000, 0.0000, 0.2430,96.2502
   23.3357,   2.3476, -7.948, 1.414692, 0.000000, 0.197392,-8.691083, 0.030875, 0.0000, 0.0000, 0.2236,19.1756
   23.6977,   2.2692, -9.511, 1.054153, 0.000000, 0.176543,-6.826276, 0.041012, 0.0000, 0.0000, 0.2082, 1.4718
   23.8795,   2.2299,-11.544, 0.637247, 0.000000, 0.130123,-4.326832, 0.077912, 0.0000, 0.0000, 0.1346, 0.0000


Main Wing Cp Coefficients
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp
  61,   1.537e+01,  -2.332e+01,   8.549e-01,       0.006,      -0.035,      -0.999,   5.297e-02,     -0.0510
  62,   1.522e+01,  -2.332e+01,   8.512e-01,       0.037,      -0.023,      -0.999,   8.433e-02,     -0.0523
  63,   1.500e+01,  -2.332e+01,   8.385e-01,       0.076,      -0.008,      -0.997,   1.102e-01,     -0.0437
  64,   1.474e+01,  -2.332e+01,   8.124e-01,       0.118,       0.008,      -0.993,   1.289e-01,     -0.0288
  65,   1.444e+01,  -2.332e+01,   7.779e-01,       0.116,       0.008,      -0.993,   1.383e-01,      0.0004
  66,   1.414e+01,  -2.332e+01,   7.526e-01,       0.050,      -0.023,      -0.998,   1.375e-01,      0.0893
  67,   1.385e+01,  -2.332e+01,   7.470e-01,      -0.014,      -0.054,      -0.998,   1.280e-01,      0.2449
  68,   1.358e+01,  -2.332e+01,   7.570e-01,      -0.066,      -0.080,      -0.995,   1.102e-01,      0.4402
  69,   1.337e+01,  -2.332e+01,   7.766e-01,      -0.123,      -0.109,      -0.986,   8.519e-02,      0.5878
  70,   1.322e+01,  -2.332e+01,   8.021e-01,      -0.230,      -0.167,      -0.959,   5.497e-02,     -0.0569
  71,   1.314e+01,  -2.332e+01,   8.366e-01,      -0.664,      -0.397,      -0.633,   2.795e-02,     -5.0364
  72,   1.314e+01,  -2.332e+01,   8.861e-01,      -0.748,      -0.402,       0.529,   3.510e-02,    -11.4389
  73,   1.322e+01,  -2.332e+01,   9.381e-01,      -0.357,      -0.171,       0.918,   5.806e-02,     -6.8897
  74,   1.337e+01,  -2.332e+01,   9.773e-01,      -0.170,      -0.067,       0.983,   8.591e-02,     -3.1919
  75,   1.358e+01,  -2.331e+01,   1.004e+00,      -0.090,      -0.024,       0.996,   1.104e-01,     -1.8312
  76,   1.385e+01,  -2.331e+01,   1.020e+00,      -0.034,       0.004,       0.999,   1.279e-01,     -1.2325
  77,   1.414e+01,  -2.331e+01,   1.023e+00,       0.015,       0.028,       0.999,   1.372e-01,     -0.9129
  78,   1.444e+01,  -2.331e+01,   1.009e+00,       0.072,       0.054,       0.996,   1.375e-01,     -0.6919
  79,   1.474e+01,  -2.332e+01,   9.809e-01,       0.123,       0.076,       0.989,   1.289e-01,     -0.4999
  80,   1.500e+01,  -2.332e+01,   9.441e-01,       0.156,       0.089,       0.984,   1.113e-01,     -0.3515
  81,   1.522e+01,  -2.332e+01,   9.077e-01,       0.182,       0.098,       0.978,   8.586e-02,     -0.2323
  82,   1.537e+01,  -2.332e+01,   8.771e-01,       0.221,       0.112,       0.969,   5.449e-02,     -0.0424
  83,   1.545e+01,  -2.332e+01,   8.594e-01,       0.210,       0.108,       0.972,   1.854e-02,      0.0500
Strip 4
  84,   1.526e+01,  -2.278e+01,   8.354e-01,      -0.004,      -0.038,      -0.999,   2.635e-02,      0.1755
  85,   1.518e+01,  -2.278e+01,   8.352e-01,       0.006,      -0.035,      -0.999,   7.726e-02,      0.1841
  86,   1.502e+01,  -2.278e+01,   8.312e-01,       0.037,      -0.023,      -0.999,   1.230e-01,      0.1912
  87,   1.479e+01,  -2.278e+01,   8.179e-01,       0.076,      -0.008,      -0.997,   1.607e-01,      0.1955
  88,   1.452e+01,  -2.278e+01,   7.905e-01,       0.118,       0.008,      -0.993,   1.880e-01,      0.1969
  89,   1.421e+01,  -2.278e+01,   7.543e-01,       0.116,       0.008,      -0.993,   2.017e-01,      0.2135
  90,   1.389e+01,  -2.278e+01,   7.277e-01,       0.050,      -0.023,      -0.998,   2.005e-01,      0.2974
  91,   1.358e+01,  -2.278e+01,   7.218e-01,      -0.014,      -0.054,      -0.998,   1.867e-01,      0.4434
  92,   1.330e+01,  -2.278e+01,   7.324e-01,      -0.066,      -0.080,      -0.995,   1.608e-01,      0.6040
  93,   1.308e+01,  -2.278e+01,   7.529e-01,      -0.123,      -0.109,      -0.986,   1.243e-01,      0.6702
  94,   1.292e+01,  -2.278e+01,   7.796e-01,      -0.230,      -0.167,      -0.959,   8.019e-02,     -0.2467
  95,   1.284e+01,  -2.278e+01,   8.159e-01,      -0.664,      -0.397,      -0.634,   4.079e-02,     -6.0792
  96,   1.284e+01,  -2.278e+01,   8.679e-01,      -0.748,      -0.402,       0.528,   5.117e-02,    -13.0220
  97,   1.292e+01,  -2.278e+01,   9.225e-01,      -0.357,      -0.171,       0.918,   8.465e-02,     -7.7165
  98,   1.308e+01,  -2.278e+01,   9.636e-01,      -0.170,      -0.067,       0.983,   1.253e-01,     -3.6008
  99,   1.330e+01,  -2.278e+01,   9.921e-01,      -0.090,      -0.024,       0.996,   1.610e-01,     -2.0929
 100,   1.358e+01,  -2.278e+01,   1.009e+00,      -0.034,       0.004,       0.999,   1.866e-01,     -1.4059
 101,   1.389e+01,  -2.278e+01,   1.011e+00,       0.015,       0.028,       0.999,   2.000e-01,     -1.0065
 102,   1.421e+01,  -2.278e+01,   9.974e-01,       0.072,       0.054,       0.996,   2.006e-01,     -0.7099
 103,   1.452e+01,  -2.278e+01,   9.674e-01,       0.123,       0.076,       0.989,   1.880e-01,     -0.4502
 104,   1.479e+01,  -2.278e+01,   9.288e-01,       0.156,       0.089,       0.984,   1.624e-01,     -0.2439
 105,   1.502e+01,  -2.278e+01,   8.905e-01,       0.182,       0.098,       0.978,   1.252e-01,     -0.0797
 106,   1.518e+01,  -2.278e+01,   8.584e-01,       0.221,       0.112,       0.969,   7.949e-02,      0.1352
 107,   1.526e+01,  -2.278e+01,   8.399e-01,       0.210,       0.108,       0.972,   2.704e-02,      0.2400
Strip 5
 108,   1.501e+01,  -2.207e+01,   8.093e-01,      -0.004,      -0.038,      -0.999,   3.564e-02,      0.2504
 109,   1.492e+01,  -2.207e+01,   8.090e-01,       0.006,      -0.035,      -0.999,   1.045e-01,      0.2672
 110,   1.475e+01,  -2.207e+01,   8.048e-01,       0.037,      -0.023,      -0.999,   1.663e-01,      0.2850
 111,   1.451e+01,  -2.207e+01,   7.906e-01,       0.076,      -0.008,      -0.997,   2.173e-01,      0.2960
 112,   1.422e+01,  -2.207e+01,   7.616e-01,       0.118,       0.008,      -0.993,   2.542e-01,      0.3006
 113,   1.389e+01,  -2.207e+01,   7.231e-01,       0.116,       0.008,      -0.993,   2.728e-01,      0.3190
 114,   1.355e+01,  -2.207e+01,   6.948e-01,       0.050,      -0.023,      -0.998,   2.711e-01,      0.4000
 115,   1.323e+01,  -2.207e+01,   6.886e-01,      -0.014,      -0.054,      -0.998,   2.525e-01,      0.5332
 116,   1.293e+01,  -2.207e+01,   6.998e-01,      -0.066,      -0.080,      -0.995,   2.174e-01,      0.6688
 117,   1.269e+01,  -2.207e+01,   7.216e-01,      -0.122,      -0.109,      -0.986,   1.681e-01,      0.6894
 118,   1.252e+01,  -2.207e+01,   7.500e-01,      -0.229,      -0.167,      -0.959,   1.085e-01,     -0.3931
 119,   1.244e+01,  -2.207e+01,   7.885e-01,      -0.664,      -0.396,      -0.634,   5.521e-02,     -6.7563
 120,   1.244e+01,  -2.207e+01,   8.438e-01,      -0.749,      -0.402,       0.527,   6.916e-02,    -14.0334
 121,   1.252e+01,  -2.207e+01,   9.018e-01,      -0.357,      -0.171,       0.918,   1.144e-01,     -8.2370
 122,   1.269e+01,  -2.206e+01,   9.455e-01,      -0.170,      -0.067,       0.983,   1.694e-01,     -3.8546
 123,   1.293e+01,  -2.206e+01,   9.758e-01,      -0.090,      -0.024,       0.996,   2.177e-01,     -2.2638
 124,   1.323e+01,  -2.206e+01,   9.935e-01,      -0.034,       0.004,       0.999,   2.523e-01,     -1.5375
 125,   1.355e+01,  -2.206e+01,   9.963e-01,       0.015,       0.028,       0.999,   2.705e-01,     -1.1066
 126,   1.389e+01,  -2.206e+01,   9.815e-01,       0.072,       0.054,       0.996,   2.713e-01,     -0.7768
 127,   1.422e+01,  -2.206e+01,   9.496e-01,       0.123,       0.076,       0.989,   2.543e-01,     -0.4829
 128,   1.451e+01,  -2.207e+01,   9.085e-01,       0.156,       0.089,       0.984,   2.196e-01,     -0.2459
 129,   1.475e+01,  -2.207e+01,   8.678e-01,       0.182,       0.098,       0.978,   1.694e-01,     -0.0579
 130,   1.492e+01,  -2.207e+01,   8.337e-01,       0.221,       0.112,       0.969,   1.075e-01,      0.1729
 131,   1.501e+01,  -2.207e+01,   8.140e-01,       0.210,       0.108,       0.972,   3.657e-02,      0.2860
Strip 6
 132,   1.470e+01,  -2.119e+01,   7.770e-01,      -0.004,      -0.038,      -0.999,   4.613e-02,      0.2815
 133,   1.461e+01,  -2.119e+01,   7.767e-01,       0.006,      -0.035,      -0.999,   1.353e-01,      0.3034
 134,   1.443e+01,  -2.119e+01,   7.722e-01,       0.037,      -0.023,      -0.999,   2.153e-01,      0.3284
 135,   1.417e+01,  -2.119e+01,   7.570e-01,       0.076,      -0.008,      -0.997,   2.813e-01,      0.3445
 136,   1.386e+01,  -2.119e+01,   7.258e-01,       0.118,       0.008,      -0.993,   3.290e-01,      0.3523
 137,   1.351e+01,  -2.119e+01,   6.845e-01,       0.116,       0.008,      -0.993,   3.531e-01,      0.3718
 138,   1.314e+01,  -2.119e+01,   6.542e-01,       0.050,      -0.023,      -0.998,   3.510e-01,      0.4503
 139,   1.279e+01,  -2.119e+01,   6.475e-01,      -0.014,      -0.054,      -0.998,   3.268e-01,      0.5755
 140,   1.248e+01,  -2.119e+01,   6.595e-01,      -0.066,      -0.080,      -0.995,   2.815e-01,      0.6980
 141,   1.222e+01,  -2.119e+01,   6.829e-01,      -0.122,      -0.109,      -0.986,   2.176e-01,      0.6958
 142,   1.204e+01,  -2.119e+01,   7.134e-01,      -0.229,      -0.167,      -0.959,   1.405e-01,     -0.4720
 143,   1.194e+01,  -2.119e+01,   7.547e-01,      -0.663,      -0.396,      -0.635,   7.152e-02,     -7.1030
 144,   1.194e+01,  -2.119e+01,   8.141e-01,      -0.749,      -0.402,       0.526,   8.947e-02,    -14.5680
 145,   1.204e+01,  -2.118e+01,   8.763e-01,      -0.358,      -0.171,       0.918,   1.480e-01,     -8.5132
 146,   1.222e+01,  -2.118e+01,   9.231e-01,      -0.170,      -0.067,       0.983,   2.192e-01,     -3.9880
